name,link,region,district,region_historical,elevation,coordinate_x,coordinate_y,area,population,first_mentioned
Horný Bar,/wiki/Horn%C3%BD_Bar,Trnavský kraj,Dunajská Streda,Podunajsko,113,47.947222,17.463333,11.78,1231,1245
Horný Hričov,/wiki/Horn%C3%BD_Hri%C4%8Dov,Žilinský kraj,Žilina,Horné Považie,320,49.253611,18.654722,5.78,789,1208
Horný Kalník,/wiki/Horn%C3%BD_Kaln%C3%ADk,Žilinský kraj,Martin,Turiec,445,49.0335,18.97,2.06,189,1225
Horný Lieskov,/wiki/Horn%C3%BD_Lieskov,Trenčiansky kraj,Považská Bystrica,Horné Považie,370,49.065278,18.433056,4.9,418,1241
Horný Pial,/wiki/Horn%C3%BD_Pial,Nitriansky kraj,Levice,Tekov,174,48.1567,18.4499,6.35,260,1251
Horný Tisovník,/wiki/Horn%C3%BD_Tisovn%C3%ADk,Banskobystrický kraj,Detva,Podpoľanie,420,48.4156,19.3632,32.16,178,1573
Horný Vadičov,/wiki/Horn%C3%BD_Vadi%C4%8Dov,Žilinský kraj,Kysucké Nové Mesto,undefined,487,49.266667,18.883333,20.81,1643,1386
Horňa,/wiki/Hor%C5%88a,Košický kraj,Sobrance,Zemplín,144,48.757778,22.201944,6.73,337,1417
Horňany,/wiki/Hor%C5%88any,Trenčiansky kraj,Trenčín,Stredné Považie,222,48.7793,18.1983,6.71,436,1352
Horovce,/wiki/Horovce_(okres_P%C3%BAchov),Trenčiansky kraj,Púchov,Stredné Považie,249,49.044722,18.256111,5.35,852,1259
Horovce,/wiki/Horovce_(okres_Michalovce),Košický kraj,Michalovce,Zemplín,106,48.7062,21.7714,13.08,857,1347
Hoste,/wiki/Hoste_(okres_Galanta),Trnavský kraj,Galanta,undefined,125,48.260556,17.639167,4.48,445,1231
Hostice,/wiki/Hostice,Banskobystrický kraj,Rimavská Sobota,Gemer,205,48.2384,20.0659,21.12,1079,1332
Hostie,/wiki/Hostie,Nitriansky kraj,Zlaté Moravce,Tekov,225,48.4507,18.4379,28.17,1205,1332
Hostišovce,/wiki/Hosti%C5%A1ovce,Banskobystrický kraj,Rimavská Sobota,Gemer,266,48.4978,20.1163,10.42,244,1333
Hostovice,/wiki/Hostovice,Prešovský kraj,Snina,Zemplín,387,49.116667,22.144167,29.04,279,1567
Hosťová,/wiki/Hos%C5%A5ov%C3%A1,Nitriansky kraj,Nitra,undefined,195,48.339,18.2072,4.78,389,1232
Hosťovce,/wiki/Hos%C5%A5ovce_(okres_Zlat%C3%A9_Moravce),Nitriansky kraj,Zlaté Moravce,Tekov,220,48.416667,18.35,16.24,757,1209
Hosťovce,/wiki/Hos%C5%A5ovce_(okres_Ko%C5%A1ice-okolie),Košický kraj,Košice-okolie,Abov,171,48.571111,20.855,4.83,213,1360
Hozelec,/wiki/Hozelec,Prešovský kraj,Poprad,Spiš,683,49.0344,20.3467,4,774,1243
Hôrka,/wiki/H%C3%B4rka,Prešovský kraj,Poprad,Spiš,600,49.019444,20.383333,11.35,2077,1311
Hôrka nad Váhom,/wiki/H%C3%B4rka_nad_V%C3%A1hom,Trenčiansky kraj,Nové Mesto nad Váhom,Považie,197,48.7212,17.8923,18.32,766,1426
Hôrky,/wiki/H%C3%B4rky_(okres_%C5%BDilina),Žilinský kraj,Žilina,Horné Považie,375,49.203889,18.692778,2.32,842,1393
Hrabičov,/wiki/Hrabi%C4%8Dov,Banskobystrický kraj,Žarnovica,Tekov,358,48.5344,18.6633,13.2,569,1228
Hrabkov,/wiki/Hrabkov,Prešovský kraj,Prešov,Šariš,452,48.9593,21.0181,16.7,686,1330
Hrabová Roztoka,/wiki/Hrabov%C3%A1_Roztoka,Prešovský kraj,Snina,Zemplín,410,48.879167,22.301111,7.45,59,1568
Hrabovčík,/wiki/Hrabov%C4%8D%C3%ADk,Prešovský kraj,Svidník,undefined,264,49.2817,21.5569,7.1,343,1548
Hrabovec,/wiki/Hrabovec,Prešovský kraj,Bardejov,undefined,230,49.266667,21.366667,7.85,511,1338
Hrabovec nad Laborcom,/wiki/Hrabovec_nad_Laborcom,Prešovský kraj,Humenné,undefined,389,49.0949,21.9391,13.54,512,1463
Hrabovka,/wiki/Hrabovka_(okres_Tren%C4%8D%C3%ADn),Trenčiansky kraj,Trenčín,undefined,315,48.9355,18.0392,4.29,418,1423
Hrabské,/wiki/Hrabsk%C3%A9,Prešovský kraj,Bardejov,Horný Šariš,460,49.3387,21.0735,10.91,606,1351
Hrabušice,/wiki/Hrabu%C5%A1ice,Košický kraj,Spišská Nová Ves,Spiš,548,48.966667,20.4,40.89,2536,1279
Hradisko,/wiki/Hradisko_(okres_Ke%C5%BEmarok),Prešovský kraj,Kežmarok,undefined,830,49.0572,20.5224,3.37,98,false
Hradište,/wiki/Hradi%C5%A1te_(okres_Partiz%C3%A1nske),Trenčiansky kraj,Partizánske,Stredné Ponitrie,212,48.6814,18.3722,8.17,1008,1533
Hradište,/wiki/Hradi%C5%A1te_(okres_Polt%C3%A1r),Banskobystrický kraj,Poltár,Novohrad,302,48.4914,19.7225,14.51,241,1411
Hradište pod Vrátnom,/wiki/Hradi%C5%A1te_pod_Vr%C3%A1tnom,Trnavský kraj,Senica,Kopanice,233,48.627222,17.486944,25.19,687,1262
Hrádok,/wiki/Hr%C3%A1dok_(okres_Nov%C3%A9_Mesto_nad_V%C3%A1hom),Trenčiansky kraj,Nové Mesto nad Váhom,Považie,190,48.697047,17.882486,24.13,722,1246
Hrachovište,/wiki/Hrachovi%C5%A1te,Trenčiansky kraj,Nové Mesto nad Váhom,Kopanice,210,48.71395,17.730247,9.2,705,1392
Hrachovo,/wiki/Hrachovo,Banskobystrický kraj,Rimavská Sobota,Malohont,273,48.4636,19.9507,11.84,819,1353
Hraničné,/wiki/Hrani%C4%8Dn%C3%A9,Prešovský kraj,Stará Ľubovňa,undefined,534,49.378583,20.699778,7.54,188,1342
Hranovnica,/wiki/Hranovnica,Prešovský kraj,Poprad,Spiš,610,48.9883,20.3087,32.66,3178,1294
Hraň,/wiki/Hra%C5%88,Košický kraj,Trebišov,Zemplín,106,48.5447,21.7885,17.4,1566,1331
Hrašné,/wiki/Hra%C5%A1n%C3%A9,Trenčiansky kraj,Myjava,Kopanice,340,48.750567,17.661653,7.88,486,1955
Hrašovík,/wiki/Hra%C5%A1ov%C3%ADk,Košický kraj,Košice-okolie,Abov,207,48.75,21.316667,2.05,379,1270
Hrčeľ,/wiki/Hr%C4%8De%C4%BE,Košický kraj,Trebišov,Zemplín,133,48.5228,21.6879,9.99,1095,1332
Hrhov,/wiki/Hrhov,Košický kraj,Rožňava,Abov,216,48.6054,20.7501,36.08,1051,1263
Hriadky,/wiki/Hriadky,Košický kraj,Trebišov,Zemplín,111,48.696389,21.708333,3.31,419,1320
Hričovské Podhradie,/wiki/Hri%C4%8Dovsk%C3%A9_Podhradie,Žilinský kraj,Žilina,Horné Považie,323,49.2214,18.6222,2.04,355,1265
Hriňová,/wiki/Hri%C5%88ov%C3%A1,Banskobystrický kraj,Detva,Podpoľanie,480,48.573333,19.522778,126.49,7415,1863
Hrišovce,/wiki/Hri%C5%A1ovce,Košický kraj,Gelnica,Spiš,475,48.95,20.916667,7.96,297,1311
Hrkovce,/wiki/Hrkovce,Nitriansky kraj,Levice,Hont,126,48.0882,18.9024,8.2,291,1156
Hrlica,/wiki/Hrlica,Banskobystrický kraj,Revúca,Gemer,439,48.6285,20.0509,5.49,70,1413
Hrnčiarovce nad Parnou,/wiki/Hrn%C4%8Diarovce_nad_Parnou,Trnavský kraj,Trnava,undefined,143,48.343333,17.575,16.28,2253,1267
Hrnčiarska Ves,/wiki/Hrn%C4%8Diarska_Ves,Banskobystrický kraj,Poltár,Malohont,236,48.4325,19.8571,25.78,945,1285
Hrnčiarske Zalužany,/wiki/Hrn%C4%8Diarske_Zalu%C5%BEany,Banskobystrický kraj,Poltár,Malohont,223,48.4055,19.8702,6.1,862,1362
Hrochoť,/wiki/Hrocho%C5%A5,Banskobystrický kraj,Banská Bystrica,Podpoľanie,636,48.6554,19.3123,34.74,1472,1296
Hromoš,/wiki/Hromo%C5%A1,Prešovský kraj,Stará Ľubovňa,Šariš,523,49.2553,20.794,13.35,499,1600
Hronec,/wiki/Hronec_(okres_Brezno),Banskobystrický kraj,Brezno,Horehronie,492,48.7948,19.582,35.15,1201,1357
Hronovce,/wiki/Hronovce,Nitriansky kraj,Levice,Tekov,131,48.0039,18.6562,30.96,1476,1256
Hronsek,/wiki/Hronsek,Banskobystrický kraj,Banská Bystrica,Podpoľanie,312,48.658889,19.153889,7.3,654,1250
Hronská Breznica,/wiki/Hronsk%C3%A1_Breznica,Banskobystrický kraj,Zvolen,Podpoľanie,268,48.569,18.9975,9.52,253,1424
Hronská Dúbrava,/wiki/Hronsk%C3%A1_D%C3%BAbrava,Banskobystrický kraj,Žiar nad Hronom,Tekov,498,48.5897,19.0011,5.04,420,1388
Hronské Kľačany,/wiki/Hronsk%C3%A9_K%C4%BEa%C4%8Dany,Nitriansky kraj,Levice,Tekov,163,48.24,18.568333,7.88,1401,1275
Hronské Kosihy,/wiki/Hronsk%C3%A9_Kosihy,Nitriansky kraj,Levice,Tekov,170,48.2675,18.595278,7.09,696,1294
Hronský Beňadik,/wiki/Hronsk%C3%BD_Be%C5%88adik,Banskobystrický kraj,Žarnovica,Tekov,192,48.353056,18.573889,9.23,1144,1075
Hrubá Borša,/wiki/Hrub%C3%A1_Bor%C5%A1a,Bratislavský kraj,Senec,undefined,120,48.180556,17.483333,5.85,1172,1244
Hruboňovo,/wiki/Hrubo%C5%88ovo,Nitriansky kraj,Nitra,undefined,162,48.4431,18.0287,11.55,519,1247
Hrubov,/wiki/Hrubov,Prešovský kraj,Humenné,Zemplín,306,49.094444,21.8625,14.42,482,1478
Hrubý Šúr,/wiki/Hrub%C3%BD_%C5%A0%C3%BAr,Bratislavský kraj,Senec,Podunajský,126,48.169722,17.420833,6.21,1033,1245
Hrušov,/wiki/Hru%C5%A1ov_(okres_Ve%C4%BEk%C3%BD_Krt%C3%AD%C5%A1),Banskobystrický kraj,Veľký Krtíš,Hont,349,48.1542,19.0918,23.31,830,1285
Hrušov,/wiki/Hru%C5%A1ov_(okres_Ro%C5%BE%C5%88ava),Košický kraj,Rožňava,Abov,232,48.5825,20.6367,16.8,343,1285
Hrušovany,/wiki/Hru%C5%A1ovany_(okres_Topo%C4%BE%C4%8Dany),Nitriansky kraj,Topoľčany,Ponitrie,158,48.436389,18.093889,5.54,1121,1318
Hrušovo,/wiki/Hru%C5%A1ovo,Banskobystrický kraj,Rimavská Sobota,Malohont,273,48.5127,20.0497,15.78,176,1297
Hruštín,/wiki/Hru%C5%A1t%C3%ADn,Žilinský kraj,Námestovo,Orava,697,49.324722,19.349444,36.51,3125,1588
Hubice,/wiki/Hubice,Trnavský kraj,Dunajská Streda,undefined,124,48.095833,17.397222,5.36,624,1245
Hubina,/wiki/Hubina,Trnavský kraj,Piešťany,Považie,200,48.616667,17.887778,26.84,515,1353
Hubošovce,/wiki/Hubo%C5%A1ovce,Prešovský kraj,Sabinov,Šariš,355,49.0961,21.2051,5.82,532,1435
Hubová,/wiki/Hubov%C3%A1_(okres_Ru%C5%BEomberok),Žilinský kraj,Ružomberok,Liptov,449,49.1183,19.1886,16.7,1062,1425
Hubovo,/wiki/Hubovo,Banskobystrický kraj,Rimavská Sobota,Gemer,233,48.3991,20.3675,11.08,132,1235
Hucín,/wiki/Huc%C3%ADn,Banskobystrický kraj,Revúca,Gemer,221,48.5645,20.2983,12.56,937,1327
Hudcovce,/wiki/Hudcovce,Prešovský kraj,Humenné,undefined,136,48.9076,21.7906,5.86,401,1467
Hul,/wiki/Hul,Nitriansky kraj,Nové Zámky,undefined,124,48.1,18.25,12.68,1197,1290
Humenné,/wiki/Humenn%C3%A9,Prešovský kraj,Humenné,Zemplín,157,48.935833,21.906667,28.63,32834,1317
Huncovce,/wiki/Huncovce,Prešovský kraj,Kežmarok,Spiš,639,49.116667,20.383333,13.26,3239,1257
Hunkovce,/wiki/Hunkovce,Prešovský kraj,Svidník,undefined,294,49.3608,21.6519,6.96,340,1548
Hurbanova Ves,/wiki/Hurbanova_Ves,Bratislavský kraj,Senec,Podunajská nížina,125,48.1517,17.4379,5.41,414,1960
Hurbanovo,/wiki/Hurbanovo,Nitriansky kraj,Komárno,Podunajsko,115,47.873056,18.193333,59.94,7397,1329
Husák,/wiki/Hus%C3%A1k_(okres_Sobrance),Košický kraj,Sobrance,Zemplín[1][pozn 1],220,48.698611,22.2875,13.95,166,1548
Husiná,/wiki/Husin%C3%A1,Banskobystrický kraj,Rimavská Sobota,Gemer,241,48.3405,19.8768,19.65,557,1322
Hutka,/wiki/Hutka,Prešovský kraj,Bardejov,Horný Šariš,400,49.3971,21.4308,3.69,99,1588
Huty,/wiki/Huty,Žilinský kraj,Liptovský Mikuláš,Liptov,789,49.2192,19.566,11.57,156,1545
Hviezdoslavov,/wiki/Hviezdoslavov,Trnavský kraj,Dunajská Streda,undefined,126,48.0675,17.348056,10.5,2155,1924
Hvozdnica,/wiki/Hvozdnica,Žilinský kraj,Bytča,Horné Považie,327,49.21,18.489,8.73,1201,1250
Hybe,/wiki/Hybe,Žilinský kraj,Liptovský Mikuláš,Liptov,710,49.0445,19.829,52.82,1454,1239
Hýľov,/wiki/H%C3%BD%C4%BEov,Košický kraj,Košice-okolie,Abov,490,48.73,21.104,23.86,506,1318
Chanava,/wiki/Chanava,Banskobystrický kraj,Rimavská Sobota,Gemer,173,48.3377,20.2982,18.93,705,1266
Chlebnice,/wiki/Chlebnice,Žilinský kraj,Dolný Kubín,Orava,594,49.2297,19.4643,25.27,1618,1556
Chlmec,/wiki/Chlmec_(okres_Humenn%C3%A9),Prešovský kraj,Humenné,Horný Zemplín,210,48.888056,21.939167,7.91,573,1451
Chľaba,/wiki/Ch%C4%BEaba,Nitriansky kraj,Nové Zámky,undefined,116,47.8298,18.8268,13.96,696,1138
Chmeľnica,/wiki/Chme%C4%BEnica,Prešovský kraj,Stará Ľubovňa,Spiš,528,49.3,20.733333,12.64,993,1315
Chmeľov,/wiki/Chme%C4%BEov,Prešovský kraj,Prešov,Šariš,375,49.0719,21.4366,12.64,1036,1212
Chmeľová,/wiki/Chme%C4%BEov%C3%A1,Prešovský kraj,Bardejov,Horný Šariš,365,49.3997,21.2981,12.43,373,1414
Chmeľovec,/wiki/Chme%C4%BEovec,Prešovský kraj,Prešov,undefined,368,49.0834,21.3675,7.28,448,1251
Chminianska Nová Ves,/wiki/Chminianska_Nov%C3%A1_Ves,Prešovský kraj,Prešov,undefined,423,49.0039,21.0815,10.58,1306,1248
Chminianske Jakubovany,/wiki/Chminianske_Jakubovany,Prešovský kraj,Prešov,undefined,485,49,21,14.19,2551,1334
Chmiňany,/wiki/Chmi%C5%88any,Prešovský kraj,Prešov,undefined,379,49.0009,21.0679,7.53,1002,1332
Choča,/wiki/Cho%C4%8Da,Nitriansky kraj,Zlaté Moravce,Tekov,170,48.3564,18.3228,4.39,489,1172
Chocholná-Velčice,/wiki/Chocholn%C3%A1-Vel%C4%8Dice,Trenčiansky kraj,Trenčín,bielokarpatsko-trenčiansky,220,48.8679,17.9446,27.9,1689,1345
Choňkovce,/wiki/Cho%C5%88kovce,Košický kraj,Sobrance,Zemplín,218,48.779167,22.2425,18.32,514,1409
Chorvátsky Grob,/wiki/Chorv%C3%A1tsky_Grob,Bratislavský kraj,Senec,Malokarpatsko,141,48.2275,17.290833,15.12,6328,1214
Chorváty,/wiki/Chorv%C3%A1ty,Košický kraj,Košice-okolie,Abov,192,48.5663,20.8733,3.3,99,1247
Chotča,/wiki/Chot%C4%8Da,Prešovský kraj,Stropkov,undefined,226,49.246617,21.682222,10.59,633,1379
Chotín,/wiki/Chot%C3%ADn,Nitriansky kraj,Komárno,Podunajsko,110,47.8036,18.2373,20.43,1364,1138
Chrabrany,/wiki/Chrabrany,Nitriansky kraj,Topoľčany,undefined,159,48.5325,18.1426,7.95,797,1291
Chrámec,/wiki/Chr%C3%A1mec,Banskobystrický kraj,Rimavská Sobota,Gemer,176,48.2777,20.1851,12.84,457,1246
Chrastince,/wiki/Chrastince,Banskobystrický kraj,Veľký Krtíš,Hont,146,48.091,19.249,4,212,1244
Chrastné,/wiki/Chrastn%C3%A9,Košický kraj,Košice-okolie,Abov,240,48.7919,21.3484,4.73,614,1357
Chrasť nad Hornádom,/wiki/Chras%C5%A5_nad_Horn%C3%A1dom,Košický kraj,Spišská Nová Ves,Spiš,420,48.9246,20.7049,9.39,915,1280
Chrenovec-Brusno,/wiki/Chrenovec-Brusno,Trenčiansky kraj,Prievidza,Horná Nitra,NaN,48.776156,18.723422,12.32,1380,1243
Chropov,/wiki/Chropov,Trnavský kraj,Skalica,Záhorie,248,48.773289,17.318144,17.79,386,1262
Chrťany,/wiki/Chr%C5%A5any,Banskobystrický kraj,Veľký Krtíš,Novohrad,222,48.2914,19.4607,9.19,126,1227
Chtelnica,/wiki/Chtelnica,Trnavský kraj,Piešťany,Považie,204,48.568889,17.624444,32.97,2551,1208
Chudá Lehota,/wiki/Chud%C3%A1_Lehota,Trenčiansky kraj,Bánovce nad Bebravou,Horná Nitra,223,48.647222,18.197778,3.67,221,1400
Chvalová,/wiki/Chvalov%C3%A1,Banskobystrický kraj,Revúca,Gemer,222,48.5141,20.1754,9.29,199,1343
Chvojnica,/wiki/Chvojnica_(okres_Myjava),Trenčiansky kraj,Myjava,Kopanice,384,48.7995,17.4105,16.35,339,1957
Chvojnica,/wiki/Chvojnica_(okres_Prievidza),Trenčiansky kraj,Prievidza,undefined,484,48.8797,18.5613,9.3,257,1614
Chynorany,/wiki/Chynorany,Trenčiansky kraj,Partizánske,Horná Nitra,178,48.6098,18.2744,10.35,2726,1243
Chyžné,/wiki/Chy%C5%BEn%C3%A9,Banskobystrický kraj,Revúca,Gemer,296,48.6638,20.2014,19.55,420,1427
Igram,/wiki/Igram,Bratislavský kraj,Senec,Západoslovenský,144,48.285,17.4625,8.3,581,1242
Ihľany,/wiki/Ih%C4%BEany,Prešovský kraj,Kežmarok,Podtatranský,706,49.188889,20.536111,28.46,1561,1307
Ihráč,/wiki/Ihr%C3%A1%C4%8D,Banskobystrický kraj,Žiar nad Hronom,Tekov,485,48.6557,18.9517,20.75,514,1388
Ilava,/wiki/Ilava,Trenčiansky kraj,Ilava,Stredné Považie,255,48.999444,18.236111,24.3,5464,1229
Iliašovce,/wiki/Ilia%C5%A1ovce,Košický kraj,Spišská Nová Ves,Spiš,520,48.9925,20.5256,13.49,1000,1263
Ilija,/wiki/Ilija,Banskobystrický kraj,Banská Štiavnica,Hont,550,48.419167,18.898889,10.63,358,1266
Imeľ,/wiki/Ime%C4%BE,Nitriansky kraj,Komárno,Podunajsko,111,47.9051,18.1357,21.96,1954,1312
Inovce,/wiki/Inovce,Košický kraj,Sobrance,Zemplín,420,48.823333,22.3575,10.59,203,1555
Iňa,/wiki/I%C5%88a,Nitriansky kraj,Levice,Tekov,171,48.1722,18.4179,5.68,226,1156
Iňačovce,/wiki/I%C5%88a%C4%8Dovce,Košický kraj,Michalovce,Zemplín,103,48.6983,22.029,17.35,769,1417
Ipeľské Predmostie,/wiki/Ipe%C4%BEsk%C3%A9_Predmostie,Banskobystrický kraj,Veľký Krtíš,Hont,133,48.0636,19.0573,13.83,617,1252
Ipeľské Úľany,/wiki/Ipe%C4%BEsk%C3%A9_%C3%9A%C4%BEany,Nitriansky kraj,Levice,Hont,332,48.1257,19.0511,15.68,268,1259
Ipeľský Sokolec,/wiki/Ipe%C4%BEsk%C3%BD_Sokolec,Nitriansky kraj,Levice,Hont,120,48.0174,18.8057,18.15,826,1386
Istebné,/wiki/Istebn%C3%A9,Žilinský kraj,Dolný Kubín,Orava,501,49.2118,19.2215,11.29,1371,1272
Ivachnová,/wiki/Ivachnov%C3%A1,Žilinský kraj,Ružomberok,Liptov,512,49.0936,19.4083,5.89,655,1298
Ivančiná,/wiki/Ivan%C4%8Din%C3%A1,Žilinský kraj,Turčianske Teplice,Turiec,455,48.9114,18.8111,3.54,80,1248
Ivanice,/wiki/Ivanice,Banskobystrický kraj,Rimavská Sobota,Gemer,168,48.3282,20.2367,5.6,292,1245
Ivanka pri Dunaji,/wiki/Ivanka_pri_Dunaji,Bratislavský kraj,Senec,Bratislava a okolie,130,48.183333,17.25,14.26,6835,1209
Ivanka pri Nitre,/wiki/Ivanka_pri_Nitre,Nitriansky kraj,Nitra,Nitriansky,140,48.233333,18.116667,14.91,2774,1400
Ivanovce,/wiki/Ivanovce,Trenčiansky kraj,Trenčín,Považie,197,48.8304,17.9046,15.08,999,1398
Iža,/wiki/I%C5%BEa,Nitriansky kraj,Komárno,Podunajsko,111,47.7495,18.2257,28.02,1703,1268
Ižipovce,/wiki/I%C5%BEipovce,Žilinský kraj,Liptovský Mikuláš,Liptov,598,49.1404,19.4912,2.64,88,1286
Ižkovce,/wiki/I%C5%BEkovce,Košický kraj,Michalovce,Zemplín,100,48.5561,21.9531,4.22,90,1297
Jablonec,/wiki/Jablonec_(okres_Pezinok),Bratislavský kraj,Pezinok,undefined,160,48.332778,17.448889,8.7,1022,1342
Jablonica,/wiki/Jablonica,Trnavský kraj,Senica,Záhorie,209,48.608056,17.42,31.44,2242,1262
Jablonka,/wiki/Jablonka_(okres_Myjava),Trenčiansky kraj,Myjava,Kopanice,290,48.724722,17.609722,12.59,480,1690
Jablonov,/wiki/Jablonov,Prešovský kraj,Levoča,undefined,480,49.0174,20.7192,20.53,1008,1249
Jablonov nad Turňou,/wiki/Jablonov_nad_Tur%C5%88ou,Košický kraj,Rožňava,Abov,480,48.5933,20.6729,24.46,736,1235
Jablonové,/wiki/Jablonov%C3%A9_(okres_Malacky),Bratislavský kraj,Malacky,Záhorie,229,48.348514,17.0964,13.18,1324,1206
Jablonové,/wiki/Jablonov%C3%A9_(okres_Byt%C4%8Da),Žilinský kraj,Bytča,Horné Považie,340,49.1829,18.5649,4.23,911,1268
Jabloň,/wiki/Jablo%C5%88_(okres_Humenn%C3%A9),Prešovský kraj,Humenné,Zemplín,206,49.066,21.9798,11.86,395,1405
Jabloňovce,/wiki/Jablo%C5%88ovce,Nitriansky kraj,Levice,Hont,283,48.317,18.7891,34.69,210,1245
Jacovce,/wiki/Jacovce,Nitriansky kraj,Topoľčany,undefined,194,48.593,18.134,10.01,1751,1224
Jahodná,/wiki/Jahodn%C3%A1_(okres_Dunajsk%C3%A1_Streda),Trnavský kraj,Dunajská Streda,Podunajsko,114,48.05,17.702778,15.69,1590,1539
Jaklovce,/wiki/Jaklovce,Košický kraj,Gelnica,Spiš,325,48.8738,20.9926,17.25,1873,1328
Jakovany,/wiki/Jakovany,Prešovský kraj,Sabinov,undefined,507,49.154,21.0714,4.88,338,1314
Jakubany,/wiki/Jakubany,Prešovský kraj,Stará Ľubovňa,Šariš,615,49.2466,20.6949,65.71,2846,1322
Jakubov,/wiki/Jakubov,Bratislavský kraj,Malacky,Záhorie,149,48.414253,16.926603,20.86,1638,1460
Jakubova Voľa,/wiki/Jakubova_Vo%C4%BEa,Prešovský kraj,Sabinov,Šarišský,375,49.1314392,21.0179542,5.77,400,1315
Jakubovany,/wiki/Jakubovany_(okres_Liptovsk%C3%BD_Mikul%C3%A1%C5%A1),Žilinský kraj,Liptovský Mikuláš,Liptov,715,49.1031,19.7248,9.11,367,1352
Jakubovany,/wiki/Jakubovany_(okres_Sabinov),Prešovský kraj,Sabinov,Šariš,400,49.107222,21.1425,10.81,964,1314
Jakušovce,/wiki/Jaku%C5%A1ovce,Prešovský kraj,Stropkov,Východné Slovensko,265,49.1559,21.7509,5.5,42,1454
Jalová,/wiki/Jalov%C3%A1,Prešovský kraj,Snina,Zemplín,350,49.038889,22.236667,2.79,64,1568
Jalovec,/wiki/Jalovec_(okres_Prievidza),Trenčiansky kraj,Prievidza,Horná Nitra,340,48.771389,18.744444,6.02,578,1430
Jalovec,/wiki/Jalovec_(okres_Liptovsk%C3%BD_Mikul%C3%A1%C5%A1),Žilinský kraj,Liptovský Mikuláš,Liptov,692,49.1362,19.6295,20.18,306,1391
Jalšové,/wiki/Jal%C5%A1ov%C3%A9,Trnavský kraj,Hlohovec,Dolné Považie,180,48.5075,17.829722,9.33,487,1352
Jalšovík,/wiki/Jal%C5%A1ov%C3%ADk,Banskobystrický kraj,Krupina,Hont,348,48.3109883,19.1024431,5.96,184,1542
Jamník,/wiki/Jamn%C3%ADk_(okres_Liptovsk%C3%BD_Mikul%C3%A1%C5%A1),Žilinský kraj,Liptovský Mikuláš,Liptov,700,49.071658,19.709725,45.98,460,1346
Jamník,/wiki/Jamn%C3%ADk_(okres_Spi%C5%A1sk%C3%A1_Nov%C3%A1_Ves),Košický kraj,Spišská Nová Ves,Spiš,460,48.9436,20.6638,8.14,1203,1277
Janice,/wiki/Janice,Banskobystrický kraj,Rimavská Sobota,Gemer,171,48.2788,20.2142,8.59,308,1216
Janík,/wiki/Jan%C3%ADk,Košický kraj,Košice-okolie,Abov,188,48.5544,20.9725,19.87,634,1285
Janíky,/wiki/Jan%C3%ADky,Trnavský kraj,Dunajská Streda,undefined,125,48.140556,17.395,11.34,926,1287
Jankovce,/wiki/Jankovce,Prešovský kraj,Humenné,Horná Oľka,178,49.0579,21.7981,5.69,266,1317
Janov,/wiki/Janov_(okres_Pre%C5%A1ov),Prešovský kraj,Prešov,undefined,294,48.9386,21.1782,4.72,327,1341
Janova Lehota,/wiki/Janova_Lehota,Banskobystrický kraj,Žiar nad Hronom,Tekov,422,48.659167,18.783056,17.67,969,1487
Janovce,/wiki/Janovce,Prešovský kraj,Bardejov,Horný Šariš,370,49.1906,21.3039,5.55,462,1261
Jánovce,/wiki/J%C3%A1novce_(okres_Galanta),Trnavský kraj,Galanta,undefined,120,48.176667,17.530833,3.59,498,1792
Jánovce,/wiki/J%C3%A1novce_(okres_Poprad),Prešovský kraj,Poprad,Spiš,579,49.0176,20.4296,9.68,1708,1312
Janovík,/wiki/Janov%C3%ADk,Prešovský kraj,Prešov,Šariš,220,48.8361,21.2857,2.39,367,1330
Jarabá,/wiki/Jarab%C3%A1,Banskobystrický kraj,Brezno,Horehronie,823,48.89,19.6886,15.39,41,1540
Jarabina,/wiki/Jarabina_(okres_Star%C3%A1_%C4%BDubov%C5%88a),Prešovský kraj,Stará Ľubovňa,Zamagurie,587,49.3348,20.6561,22.9,932,1329
Jarok,/wiki/Jarok_(okres_Nitra),Nitriansky kraj,Nitra,undefined,151,48.2763,17.9557,22.11,2036,1113
Jarovnice,/wiki/Jarovnice,Prešovský kraj,Sabinov,Šariš,422,49.05,21.066667,20.17,7027,1260
Jasenica,/wiki/Jasenica_(okres_Pova%C5%BEsk%C3%A1_Bystrica),Trenčiansky kraj,Považská Bystrica,Horné Považie,311,49.179722,18.45,7.3,1149,1269
Jasenie,/wiki/Jasenie,Banskobystrický kraj,Brezno,Horehronie,507,48.8363,19.4578,86.29,1167,1424
Jasenov,/wiki/Jasenov_(okres_Humenn%C3%A9),Prešovský kraj,Humenné,Zemplín,155,48.9071,21.9011,13.27,1193,1317
Jasenov,/wiki/Jasenov_(okres_Sobrance),Košický kraj,Sobrance,Zemplín,174,48.796389,22.168889,7.21,289,1279
Jasenová,/wiki/Jasenov%C3%A1,Žilinský kraj,Dolný Kubín,Orava,537,49.1761,19.2947,11.93,419,1320
Jasenovce,/wiki/Jasenovce,Prešovský kraj,Vranov nad Topľou,Horný Zemplín,166,48.9948,21.7452,5.65,207,1543
Jasenové,/wiki/Jasenov%C3%A9,Žilinský kraj,Žilina,Rajecká kotlina,450,49.1094,18.6401,6.27,617,1407
